Driver,ID,rides,completed_rides,cancelled_rides,revenue,rating,average_distance,Completion,Rate,(%),Cancellation,Rate,(%),norm_rev
OC1811,1,1,0,1159.06,4,11390.60245,100,0,0.936116137,0,0.75,0,46.8334841,1
ET1257,1,1,0,867.26,5,8472.619867,100,0,0.68471612,0,1,0,45.54148359,2
UB9840,1,1,0,1039.22,4,10192.16026,100,0,0.832868097,0,0.75,0,43.73604291,3
QM3102,1,1,0,758.12,5,7381.151529,100,0,0.590686655,0,1,0,42.72059964,4
XH6044,1,1,0,734.33,5,7143.28175,100,0,0.570190402,0,1,0,42.10571207,5
CX2751,1,1,0,1177.25,3,11572.54674,100,0,0.951787714,0,0.5,0,41.05363143,6
VE7676,1,1,0,924.49,4,9044.885671,100,0,0.734022573,0,0.75,0,40.77067718,7
AG7372,1,1,0,621.77,5,6017.737907,100,0,0.47321444,0,1,0,39.19643319,8
EH2928,1,1,0,1081.56,3,10615.60591,100,0,0.869346084,0,0.5,0,38.58038253,9
QH9822,1,1,0,837.54,4,8175.439318,100,0,0.659110881,0,0.75,0,38.52332644,10
HV2517,1,1,0,536.25,5,5162.484845,100,0,0.399534764,0,1,0,36.98604291,11
RH1044,1,1,0,1233.21,2,12132.07568,100,0,1,0,0.25,0,36.25,12
AP3875,1,1,0,725.33,4,7053.310744,100,0,0.562436461,0,0.75,0,35.62309382,13
CV5232,1,1,0,722.21,4,7022.069283,100,0,0.559748428,0,0.75,0,35.54245283,14
IO9303,1,1,0,703.69,4,6836.913308,100,0,0.543792539,0,0.75,0,35.06377617,15
ZA7068,1,1,0,1155.62,2,11356.20621,100,0,0.933152408,0,0.25,0,34.24457224,16
QN1669,1,1,0,634.09,4,6140.901581,100,0,0.483828724,0,0.75,0,33.26486172,17
TA9507,1,1,0,836.77,3,8167.694418,100,0,0.658447489,0,0.5,0,32.25342466,18
RZ5497,1,1,0,334.33,5,3143.25414,100,0,0.225570776,0,1,0,31.76712329,19
GW2787,1,1,0,329.01,5,3090.130485,100,0,0.220987335,0,1,0,31.62962006,20
VA4157,1,1,0,751.83,3,7318.306383,100,0,0.585267511,0,0.5,0,30.05802533,21
JC7826,1,1,0,699.2,3,6791.959722,100,0,0.539924184,0,0.5,0,28.69772551,22
EW0106,1,1,0,414.3,4,3942.96117,100,0,0.294468855,0,0.75,0,27.58406565,23
UV4820,1,1,0,871.4,2,8513.966076,100,0,0.688282933,0,0.25,0,26.89848798,24
ED1482,1,1,0,1081.41,1,10614.09371,100,0,0.869216852,0,0,0,26.07650556,25
KK4244,1,1,0,1060.25,1,10402.49829,100,0,0.850986474,0,0,0,25.52959421,26
WP6729,1,1,0,264.88,4,2448.800085,100,0,0.165736194,0,0.75,0,23.72208581,27
UN8446,1,1,0,680.68,2,6606.849528,100,0,0.523968295,0,0.25,0,21.96904885,28
AE4189,1,1,0,883.08,1,8630.778539,100,0,0.698345826,0,0,0,20.95037477,29
JC9570,1,1,0,877.66,1,8576.56662,100,0,0.69367623,0,0,0,20.8102869,30
RN0936,1,1,0,370.71,3,3507.13582,100,0,0.256913931,0,0.5,0,20.20741794,31
FK4379,1,1,0,848.88,1,8288.785052,100,0,0.668880848,0,0,0,20.06642543,32
FS9385,1,1,0,599.4,2,5793.971048,100,0,0.453941587,0,0.25,0,19.86824761,33
UZ7463,1,1,0,96.15,4,761.4507655,100,0,0.02036702,0,0.75,0,19.3610106,34
YD4824,1,1,0,74.82,4,548.1622028,100,0,0.001990178,0,0.75,0,18.80970535,35
CY2880,1,1,0,511.38,2,4913.82354,100,0,0.378108038,0,0.25,0,17.59324115,36
MA3932,1,1,0,720.48,1,7004.818034,100,0,0.558257948,0,0,0,16.74773843,37
TE2220,1,1,0,227.41,3,2074.0657,100,0,0.13345395,0,0.5,0,16.50361851,38
PG1364,1,1,0,439.75,2,4197.459385,100,0,0.316395279,0,0.25,0,15.74185836,39
WE1243,1,1,0,428.12,2,4081.150487,100,0,0.306375463,0,0.25,0,15.44126389,40
AZ8041,1,1,0,416.45,2,3964.50042,100,0,0.296321185,0,0.25,0,15.13963556,41
SS5794,1,1,0,86.72,3,667.2392479,100,0,0.012242612,0,0.5,0,12.86727837,42
FL0729,1,1,0,557.66,1,5376.649017,100,0,0.417980529,0,0,0,12.53941587,43
WH4600,1,1,0,520.93,1,5009.328711,100,0,0.386335832,0,0,0,11.59007495,44
YX6867,1,1,0,268.4,2,2483.976883,100,0,0.168768846,0,0.25,0,11.31306539,45
XO5724,1,1,0,484.57,1,4645.721442,100,0,0.355009908,0,0,0,10.65029723,46
RA8465,1,1,0,452.8,1,4328.040166,100,0,0.327638494,0,0,0,9.82915482,47
CB8894,1,1,0,365.44,1,3454.39589,100,0,0.252373568,0,0,0,7.57120703,48
GW0500,1,1,0,250.59,1,2305.882523,100,0,0.153424658,0,0,0,4.602739726,49
UN8110,1,1,0,72.51,1,525.1356553,100,0,0,0,0,0,0,50
