Ride ID,Request Time,Pickup Location,Latitude Pickup,Longitude Pickup,Dropoff Location,Latitude Dropoff,Longtitude Dropoff,Ride Distance (in miles),Fare Amount (in $),Payment Method,Driver ID,Vehicle Type,Traffic Condition,Peak Hours,Day of Week,User Rating
1,5/18/22 3:49,"-1.369379,154.193063",-1.369379,154.193063,"30.877879,-46.862575",30.877879,-46.862575,7022.069283,722.21,PayPal,CV5232,Sedan,Medium,Yes,Wednesday,4
2,5/10/23 13:27,"50.81867,11.962034",50.81867,11.962034,"-30.319864,-88.266464",-30.319864,-88.266464,4197.459385,439.75,PayPal,PG1364,SUV,Medium,Yes,Saturday,2
3,1/21/24 14:12,"-31.012035,151.282883",-31.012035,151.282883,"51.650634,-171.505284",51.650634,-171.505284,5009.328711,520.93,Debit Card,WH4600,Sedan,Low,No,Monday,1
4,6/4/22 17:00,"-77.187995,101.68942",-77.187995,101.68942,"-51.271029,-112.905338",-51.271029,-112.905338,11572.54674,1177.25,Apple Pay,CX2751,SUV,High,No,Friday,3
5,3/24/22 10:17,"-54.567614,-88.054506",-54.567614,-88.054506,"-82.622689,6.226436",-82.622689,6.226436,2448.800085,264.88,PayPal,WP6729,SUV,Low,Yes,Thursday,4
6,7/14/22 23:54,"35.756224,-98.198843",35.756224,-98.198843,"-83.437461,72.576065",-83.437461,72.576065,8167.694418,836.77,Visa,TA9507,Motorcycle,Low,No,Saturday,3
7,2/27/22 8:44,"79.192039,-149.148325",79.192039,-149.148325,"33.811995,102.982494",33.811995,102.982494,8576.56662,877.66,Cash,JC9570,Motorcycle,Low,Yes,Wednesday,1
8,11/24/22 7:03,"45.470063,133.722843",45.470063,133.722843,"-43.191115,-59.819471",-43.191115,-59.819471,6017.737907,621.77,Cash,AG7372,SUV,Medium,Yes,Wednesday,5
9,1/14/22 9:52,"-14.625118,168.270182",-14.625118,168.270182,"72.028379,56.749153",72.028379,56.749153,11390.60245,1159.06,Visa,OC1811,Bus,Low,Yes,Sunday,4
10,2/11/24 4:07,"-19.551842,-89.323869",-19.551842,-89.323869,"-32.143283,137.954972",-32.143283,137.954972,4913.82354,511.38,PayPal,CY2880,Sedan,Low,No,Monday,2
11,12/28/24 17:14,"19.013028,68.535171",19.013028,68.535171,"69.618467,166.179833",69.618467,166.179833,5162.484845,536.25,PayPal,HV2517,Motorcycle,Low,Yes,Tuesday,5
12,8/6/22 22:41,"-67.11089,-153.216366",-67.11089,-153.216366,"46.123977,174.905079",46.123977,174.905079,3507.13582,370.71,PayPal,RN0936,Motorcycle,High,No,Monday,3
13,9/30/22 10:44,"-72.934673,-61.298891",-72.934673,-61.298891,"-26.511642,-105.31557",-26.511642,-105.31557,2074.0657,227.41,Visa,TE2220,Bus,High,No,Wednesday,3
14,3/20/23 12:07,"-30.631605,47.469302",-30.631605,47.469302,"-1.658204,-155.145807",-1.658204,-155.145807,10615.60591,1081.56,Apple Pay,EH2928,Bus,Low,Yes,Monday,3
15,3/26/24 17:44,"8.675953,-70.786208",8.675953,-70.786208,"-27.461206,-129.308589",-27.461206,-129.308589,7053.310744,725.33,Debit Card,AP3875,Motorcycle,Low,No,Friday,4
16,3/13/22 8:47,"78.291328,-7.838443",78.291328,-7.838443,"-30.137409,-138.610011",-30.137409,-138.610011,7004.818034,720.48,Debit Card,MA3932,Sedan,Low,Yes,Thursday,1
17,3/12/24 8:20,"57.77988,-148.938382",57.77988,-148.938382,"32.111914,-105.743717",32.111914,-105.743717,6606.849528,680.68,Visa,UN8446,Bus,High,Yes,Thursday,2
